                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37285,                0.28401,                0.92367,                0.94723,                      1,                  0.995,                0.75208,                0.24284,                0.19516,                0.79422,              0.0010894,              0.0010894,              0.0010894
                     37,                0.34855,                0.26808,                0.91182,                0.98844,                      1,                  0.995,                0.74009,                0.24345,                0.20397,                0.79104,              0.0010729,              0.0010729,              0.0010729
                     38,                0.35275,                0.26243,                0.90871,                 0.8201,                      1,                0.91167,                0.62406,                0.24897,                 0.1961,                0.79203,              0.0010564,              0.0010564,              0.0010564
                     39,                0.35267,                0.27272,                0.91824,                0.92769,                      1,                  0.995,                 0.7382,                0.25928,                0.20387,                 0.8127,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.3507,                0.26698,                0.90811,                0.97946,                      1,                  0.995,                0.76488,                0.24845,                0.19822,                0.79558,              0.0010234,              0.0010234,              0.0010234
                     41,                0.34547,                 0.2627,                 0.9104,                0.99887,                0.99586,                  0.995,                0.64151,                0.23974,                0.19643,                0.78767,              0.0010069,              0.0010069,              0.0010069
                     42,                0.33242,                0.25102,                0.90267,                0.97668,                      1,                  0.995,                0.71667,                0.23424,                0.19244,                0.78127,             0.00099036,             0.00099036,             0.00099036
                     43,                0.32669,                0.25429,                0.89796,                0.97936,                   0.75,                   0.87,                0.60604,                0.24307,                0.19491,                0.79169,             0.00097386,             0.00097386,             0.00097386
                     44,                0.32893,                0.25646,                0.90822,                0.82766,                0.98566,                0.82917,                0.63074,                0.22403,                0.17919,                0.79281,             0.00095736,             0.00095736,             0.00095736
                     45,                0.32205,                0.25374,                0.90131,                0.73744,                   0.75,                0.62436,                0.51821,                0.22683,                0.18276,                0.79144,             0.00094085,             0.00094085,             0.00094085
                     46,                0.30905,                0.24655,                0.89281,                0.97711,                      1,                  0.995,                0.84173,                0.20688,                0.17905,                0.77741,             0.00092435,             0.00092435,             0.00092435
                     47,                0.30552,                0.23479,                0.89064,                0.73774,                   0.75,                0.62237,                0.57976,                0.21444,                0.16899,                0.78548,             0.00090785,             0.00090785,             0.00090785
                     48,                0.31787,                0.25132,                 0.9005,                0.79297,                      1,                0.91167,                0.67562,                0.22256,                0.17449,                0.77671,             0.00089134,             0.00089134,             0.00089134
                     49,                0.30672,                0.24266,                0.89487,                0.98926,                0.97999,                  0.995,                0.69291,                0.22069,                0.17596,                0.78414,             0.00087484,             0.00087484,             0.00087484
                     50,                0.30376,                0.23419,                0.89626,                0.97727,                0.74912,                0.74854,                 0.6038,                0.21016,                0.17396,                0.78307,             0.00085834,             0.00085834,             0.00085834
                     51,                0.30193,                0.23736,                0.88911,                0.99948,                0.99945,                  0.995,                0.77204,                0.20302,                 0.1722,                0.77763,             0.00084184,             0.00084184,             0.00084184
                     52,                0.29915,                0.23571,                0.89525,                0.98928,                      1,                  0.995,                0.72841,                0.19938,                 0.1689,                0.77942,             0.00082533,             0.00082533,             0.00082533
                     53,                0.29025,                0.23259,                0.88478,                0.81389,                      1,                0.91167,                 0.6277,                0.19239,                0.15986,                0.78016,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.2831,                0.22421,                0.87719,                0.83061,                0.99546,                0.91167,                0.67666,                0.20653,                0.16774,                  0.783,             0.00079233,             0.00079233,             0.00079233
                     55,                0.29318,                0.22887,                0.88308,                0.99223,                      1,                  0.995,                0.77075,                0.19935,                0.15498,                0.77896,             0.00077582,             0.00077582,             0.00077582
                     56,                0.27669,                0.21475,                0.87744,                0.98998,                      1,                  0.995,                0.71879,                0.20466,                0.16848,                0.78053,             0.00075932,             0.00075932,             0.00075932
                     57,                0.27164,                0.21191,                 0.8792,                0.83003,                0.99562,                0.82917,                0.62705,                0.18559,                0.16847,                0.77061,             0.00074282,             0.00074282,             0.00074282
                     58,                0.26907,                0.20979,                0.87613,                0.99098,                      1,                  0.995,                0.64417,                0.18666,                0.15286,                0.77868,             0.00072631,             0.00072631,             0.00072631
                     59,                0.27028,                0.21524,                0.87366,                0.98569,                      1,                  0.995,                0.73389,                0.17636,                0.15931,                0.77067,             0.00070981,             0.00070981,             0.00070981
                     60,                0.26183,                0.21084,                0.87751,                0.98387,                      1,                0.99459,                0.77206,                0.18043,                0.15904,                0.76954,             0.00069331,             0.00069331,             0.00069331
                     61,                 0.2547,                0.20834,                0.87064,                0.98867,                      1,                  0.995,                0.74478,                0.18472,                0.15451,                0.77269,              0.0006768,              0.0006768,              0.0006768
                     62,                0.25151,                0.20424,                0.86622,                 0.9979,                0.99144,                  0.995,                0.77132,                0.17551,                0.14731,                 0.7749,              0.0006603,              0.0006603,              0.0006603
                     63,                0.24846,                0.19869,                0.86829,                0.99161,                      1,                  0.995,                0.68442,                0.15733,                0.13341,                0.77059,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.2502,                0.20179,                0.86756,                0.99096,                      1,                  0.995,                 0.7444,                0.17421,                0.14483,                0.76893,             0.00062729,             0.00062729,             0.00062729
                     65,                 0.2462,                0.19862,                0.86706,                0.99931,                 0.9976,                  0.995,                  0.687,                0.16905,                0.14384,                 0.7738,             0.00061079,             0.00061079,             0.00061079
                     66,                0.23332,                0.19401,                0.86749,                0.98171,                      1,                0.99386,                0.73231,                0.16891,                0.15089,                0.76557,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.2346,                0.19382,                0.86244,                0.99203,                      1,                  0.995,                0.73454,                0.16411,                0.13712,                0.77342,             0.00057778,             0.00057778,             0.00057778
                     68,                0.23514,                0.19034,                 0.8605,                0.99001,                      1,                  0.995,                 0.6695,                0.17724,                0.15889,                0.77252,             0.00056128,             0.00056128,             0.00056128
                     69,                0.22839,                0.18892,                0.86302,                 0.9918,                      1,                  0.995,                0.73415,                0.16332,                0.14818,                0.77738,             0.00054478,             0.00054478,             0.00054478
                     70,                0.23157,                 0.1883,                0.86159,                0.99927,                0.99378,                  0.995,                0.64719,                0.16063,                0.14695,                0.77106,             0.00052827,             0.00052827,             0.00052827
                     71,                0.22505,                 0.1848,                0.86083,                0.99147,                      1,                  0.995,                0.70156,                0.15827,                0.13967,                0.76814,             0.00051177,             0.00051177,             0.00051177
                     72,                0.22217,                 0.1815,                0.85784,                0.99967,                0.99373,                  0.995,                 0.5902,                0.15708,                0.13397,                0.76864,             0.00049527,             0.00049527,             0.00049527
                     73,                0.21653,                0.18258,                 0.8599,                0.99903,                0.99781,                  0.995,                0.62289,                0.15359,                0.11868,                0.76995,             0.00047876,             0.00047876,             0.00047876
