                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0175,                0.59032,                 1.1464,                0.96002,                 0.9214,                0.96145,                0.71597,                0.93782,                0.46685,                 1.1219,               0.008317,               0.008317,               0.008317
                     36,                 1.0088,                0.57712,                 1.1414,                0.95329,                0.92776,                 0.9597,                0.72134,                0.93787,                0.48228,                 1.1132,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0011,                0.57137,                 1.1411,                0.95774,                0.92285,                0.96217,                0.71572,                0.93596,                0.47452,                 1.1248,               0.008218,               0.008218,               0.008218
                     38,                 1.0017,                0.56995,                 1.1387,                0.95793,                0.92045,                0.96153,                0.72805,                 0.9101,                0.46467,                 1.1087,              0.0081685,              0.0081685,              0.0081685
                     39,                0.98871,                0.56257,                 1.1336,                 0.9376,                0.94697,                0.96754,                0.73146,                0.91372,                0.45413,                 1.0999,               0.008119,               0.008119,               0.008119
                     40,                0.97109,                0.55833,                  1.127,                0.95315,                0.92484,                0.96433,                0.72872,                0.91347,                0.45473,                 1.1051,              0.0080695,              0.0080695,              0.0080695
                     41,                0.97841,                0.55871,                 1.1306,                0.96176,                0.92803,                0.96769,                0.73713,                0.90425,                0.45522,                 1.0955,                0.00802,                0.00802,                0.00802
                     42,                0.97769,                0.56247,                 1.1257,                0.94907,                0.93527,                0.96614,                0.74017,                0.89512,                0.44703,                 1.0921,              0.0079705,              0.0079705,              0.0079705
                     43,                0.96028,                0.54812,                 1.1178,                0.96089,                0.92614,                 0.9635,                0.73973,                0.89116,                0.43981,                 1.1011,               0.007921,               0.007921,               0.007921
                     44,                0.96285,                0.55224,                 1.1168,                0.97081,                0.92424,                0.96769,                0.74532,                0.87252,                0.43021,                 1.0851,              0.0078715,              0.0078715,              0.0078715
                     45,                0.94927,                0.54563,                 1.1114,                0.96294,                0.93488,                0.96902,                0.74411,                0.87887,                0.43306,                 1.0893,               0.007822,               0.007822,               0.007822
                     46,                0.95577,                0.54109,                 1.1153,                0.96767,                0.93655,                0.97341,                0.74732,                0.87271,                0.42429,                 1.0811,              0.0077725,              0.0077725,              0.0077725
                     47,                0.95319,                0.54442,                 1.1136,                 0.9649,                0.92803,                0.97051,                0.74809,                0.87066,                0.43138,                  1.074,               0.007723,               0.007723,               0.007723
                     48,                0.93465,                0.53734,                 1.1047,                0.96411,                0.94128,                0.97062,                0.74981,                0.86308,                0.42305,                 1.0703,              0.0076735,              0.0076735,              0.0076735
                     49,                0.94599,                0.53087,                 1.1072,                0.96539,                0.92457,                0.96843,                0.74669,                 0.8693,                0.43006,                  1.075,               0.007624,               0.007624,               0.007624
                     50,                0.92804,                0.52827,                 1.0973,                 0.9733,                0.93203,                0.97154,                0.75273,                0.85892,                0.41663,                  1.077,              0.0075745,              0.0075745,              0.0075745
                     51,                0.92252,                0.52207,                  1.094,                0.96599,                0.93655,                0.97371,                0.75279,                0.84187,                0.41145,                 1.0612,               0.007525,               0.007525,               0.007525
                     52,                0.92106,                0.52499,                 1.1004,                0.96115,                0.93712,                0.97342,                0.75435,                0.84893,                0.41007,                 1.0609,              0.0074755,              0.0074755,              0.0074755
                     53,                0.91763,                0.52114,                 1.0909,                0.96277,                0.93045,                0.97129,                0.75744,                0.84252,                0.41394,                  1.061,               0.007426,               0.007426,               0.007426
                     54,                0.91758,                0.52196,                 1.0942,                0.97046,                0.93323,                0.97246,                0.76093,                0.84488,                 0.4116,                 1.0624,              0.0073765,              0.0073765,              0.0073765
                     55,                0.91849,                0.51894,                  1.094,                0.97105,                0.93655,                0.97321,                0.76426,                 0.8251,                0.39858,                 1.0552,               0.007327,               0.007327,               0.007327
                     56,                0.90168,                0.51112,                  1.089,                0.96783,                0.94029,                0.97513,                0.76761,                0.82773,                0.40009,                 1.0519,              0.0072775,              0.0072775,              0.0072775
                     57,                0.89518,                0.50457,                 1.0833,                0.96255,                0.94129,                0.96946,                 0.7707,                0.81079,                0.39823,                 1.0489,               0.007228,               0.007228,               0.007228
                     58,                0.89587,                0.50541,                 1.0812,                0.97147,                0.93498,                0.97433,                0.77116,                0.79996,                0.39345,                 1.0377,              0.0071785,              0.0071785,              0.0071785
                     59,                0.88658,                0.49628,                 1.0793,                0.95879,                0.94413,                0.97488,                0.77341,                 0.7962,                0.38983,                 1.0387,               0.007129,               0.007129,               0.007129
                     60,                0.88531,                0.50072,                 1.0761,                0.97019,                 0.9375,                0.97892,                0.77694,                0.79341,                0.38379,                 1.0388,              0.0070795,              0.0070795,              0.0070795
                     61,                0.89633,                 0.5027,                 1.0866,                0.97147,                0.93512,                0.97845,                0.77997,                0.78753,                0.38603,                   1.03,                0.00703,                0.00703,                0.00703
                     62,                0.87505,                0.49556,                 1.0676,                0.97463,                 0.9375,                0.97974,                0.77942,                0.78384,                0.38903,                  1.032,              0.0069805,              0.0069805,              0.0069805
                     63,                0.87628,                0.49459,                 1.0692,                0.96956,                0.94508,                0.97768,                0.77706,                0.78099,                0.38244,                 1.0309,               0.006931,               0.006931,               0.006931
                     64,                0.87231,                0.49679,                  1.071,                0.96507,                0.94183,                0.97825,                0.77934,                0.78555,                0.38353,                 1.0359,              0.0068815,              0.0068815,              0.0068815
                     65,                0.85956,                0.48596,                 1.0643,                0.97067,                0.94013,                0.97968,                0.78224,                0.76604,                0.37547,                 1.0222,               0.006832,               0.006832,               0.006832
                     66,                0.86857,                0.48826,                 1.0684,                0.96593,                0.93959,                 0.9767,                0.78632,                0.77763,                 0.3744,                 1.0242,              0.0067825,              0.0067825,              0.0067825
                     67,                0.86149,                0.48885,                 1.0621,                0.97235,                0.93238,                0.97712,                 0.7836,                0.77512,                0.37795,                 1.0248,               0.006733,               0.006733,               0.006733
                     68,                0.86061,                0.48627,                  1.063,                0.97443,                0.93824,                0.97757,                0.78148,                0.77908,                0.37015,                 1.0289,              0.0066835,              0.0066835,              0.0066835
                     69,                0.85266,                0.47912,                   1.06,                0.97729,                0.93719,                0.97684,                0.78242,                0.76158,                0.37018,                 1.0204,               0.006634,               0.006634,               0.006634
                     70,                0.85352,                0.48015,                 1.0577,                0.97443,                0.93466,                0.97466,                0.78817,                0.75311,                 0.3664,                 1.0134,              0.0065845,              0.0065845,              0.0065845
                     71,                0.83588,                0.46778,                 1.0509,                0.97483,                0.93371,                0.97772,                0.78989,                0.76025,                0.36612,                 1.0164,               0.006535,               0.006535,               0.006535
                     72,                0.85026,                0.47577,                 1.0581,                0.95812,                0.94223,                0.97428,                0.79546,                0.74629,                0.36266,                 1.0104,              0.0064855,              0.0064855,              0.0064855
                     73,                0.83659,                 0.4763,                 1.0473,                0.96692,                0.94098,                0.97618,                0.79186,                0.74831,                0.36451,                 1.0105,               0.006436,               0.006436,               0.006436
                     74,                0.83745,                0.46694,                 1.0551,                  0.969,                0.94732,                0.97937,                0.79759,                0.74249,                0.35791,                  1.009,              0.0063865,              0.0063865,              0.0063865
                     75,                0.82916,                0.46105,                 1.0456,                0.96955,                0.93474,                0.97594,                0.79227,                0.75428,                0.36526,                 1.0115,               0.006337,               0.006337,               0.006337
                     76,                0.83352,                0.46723,                 1.0469,                0.96697,                0.94271,                0.97639,                0.79109,                 0.7501,                0.36123,                 1.0114,              0.0062875,              0.0062875,              0.0062875
                     77,                0.82657,                0.45821,                 1.0458,                0.96613,                 0.9454,                0.97556,                0.79015,                0.75317,                0.36203,                 1.0097,               0.006238,               0.006238,               0.006238
                     78,                0.82341,                0.45847,                 1.0434,                0.96024,                0.94129,                0.97719,                0.79611,                0.74239,                0.35439,                 1.0056,              0.0061885,              0.0061885,              0.0061885
                     79,                0.81663,                0.45164,                  1.041,                0.97057,                  0.937,                0.97621,                0.79658,                0.74254,                0.35308,                 1.0068,               0.006139,               0.006139,               0.006139
                     80,                0.81473,                0.45397,                  1.037,                0.98212,                 0.9363,                 0.9798,                0.79469,                0.73825,                0.34796,                 1.0043,              0.0060895,              0.0060895,              0.0060895
                     81,                0.80889,                0.45101,                 1.0325,                0.97366,                0.94514,                0.98192,                0.79958,                0.73346,                 0.3468,                0.99983,                0.00604,                0.00604,                0.00604
                     82,                0.80723,                0.45049,                 1.0342,                0.96772,                0.94792,                0.98083,                0.80168,                0.73006,                0.34719,                 1.0007,              0.0059905,              0.0059905,              0.0059905
                     83,                0.81258,                0.45035,                 1.0354,                0.97499,                 0.9375,                 0.9806,                0.80219,                0.72573,                0.34798,                0.99947,               0.005941,               0.005941,               0.005941
                     84,                0.80569,                 0.4484,                 1.0315,                 0.9658,                0.94223,                0.97779,                0.80369,                0.73043,                0.34665,                 1.0028,              0.0058915,              0.0058915,              0.0058915
                     85,                0.80299,                0.44586,                 1.0353,                0.97258,                0.93561,                0.97735,                0.80235,                0.72488,                0.34729,                 1.0015,               0.005842,               0.005842,               0.005842
                     86,                0.79364,                0.44588,                 1.0298,                0.97279,                0.94779,                0.97932,                0.80659,                0.71367,                0.34201,                0.99538,              0.0057925,              0.0057925,              0.0057925
                     87,                0.79678,                0.44392,                 1.0308,                0.96951,                0.94223,                0.97763,                 0.8099,                 0.7099,                 0.3394,                0.99411,               0.005743,               0.005743,               0.005743
                     88,                0.79208,                0.43959,                 1.0287,                0.96949,                0.94034,                0.97904,                0.80867,                0.70975,                 0.3415,                0.99515,              0.0056935,              0.0056935,              0.0056935
                     89,                0.78606,                0.44205,                 1.0268,                0.97633,                0.93762,                0.97831,                0.80824,                0.70772,                0.33796,                0.99253,               0.005644,               0.005644,               0.005644
                     90,                0.78367,                0.43798,                 1.0238,                0.97649,                0.94399,                0.98087,                 0.8107,                0.70479,                  0.335,                0.99197,              0.0055945,              0.0055945,              0.0055945
                     91,                0.79327,                0.44274,                 1.0319,                0.96519,                0.94886,                  0.979,                0.80842,                0.70458,                0.33563,                0.99414,               0.005545,               0.005545,               0.005545
                     92,                0.76942,                0.42807,                  1.018,                0.96402,                0.94697,                0.97972,                0.81034,                0.69858,                0.33447,                0.98826,              0.0054955,              0.0054955,              0.0054955
                     93,                0.77477,                0.43217,                 1.0215,                0.98243,                0.93655,                0.98028,                0.81074,                0.69593,                0.33015,                 0.9865,               0.005446,               0.005446,               0.005446
                     94,                0.77241,                0.42896,                 1.0226,                0.98033,                0.93466,                0.98063,                0.81426,                0.69524,                0.32931,                0.98548,              0.0053965,              0.0053965,              0.0053965
                     95,                0.77796,                0.43757,                 1.0214,                0.98358,                0.93371,                0.98094,                0.81267,                0.69637,                0.32745,                  0.987,               0.005347,               0.005347,               0.005347
                     96,                0.76819,                0.43042,                 1.0139,                0.97886,                0.94034,                0.97949,                0.81296,                 0.6977,                0.32776,                0.98697,              0.0052975,              0.0052975,              0.0052975
                     97,                0.76745,                0.42751,                 1.0151,                0.97632,                0.93712,                0.97975,                0.81163,                0.69702,                0.32356,                 0.9885,               0.005248,               0.005248,               0.005248
                     98,                0.75988,                0.42159,                 1.0103,                0.97649,                0.94393,                0.97969,                0.81389,                 0.6936,                0.32273,                0.98663,              0.0051985,              0.0051985,              0.0051985
                     99,                0.76495,                0.42618,                  1.017,                0.97311,                0.94508,                0.97921,                0.81686,                0.68931,                0.32388,                0.98409,               0.005149,               0.005149,               0.005149
                    100,                0.75823,                0.42107,                 1.0103,                0.97509,                0.94602,                   0.98,                0.81727,                0.68685,                 0.3245,                 0.9824,              0.0050995,              0.0050995,              0.0050995
                    101,                0.76159,                0.42457,                 1.0131,                0.97092,                0.94886,                0.98107,                0.82006,                0.68141,                0.32361,                0.98018,                0.00505,                0.00505,                0.00505
                    102,                0.75586,                 0.4212,                 1.0118,                0.97692,                0.94602,                0.98124,                0.81926,                0.67794,                0.32136,                0.97924,              0.0050005,              0.0050005,              0.0050005
                    103,                0.74823,                0.41871,                 1.0096,                0.97538,                0.94223,                0.97946,                0.82027,                0.67465,                0.31798,                0.97923,               0.004951,               0.004951,               0.004951
                    104,                0.74821,                0.41675,                 1.0051,                0.97751,                0.94688,                0.98219,                0.81975,                0.67349,                0.31956,                0.97932,              0.0049015,              0.0049015,              0.0049015
                    105,                0.74174,                0.41197,                 1.0041,                0.97648,                0.94602,                0.98083,                0.81879,                0.67359,                0.31938,                0.97946,               0.004852,               0.004852,               0.004852
                    106,                0.74166,                0.40798,                 1.0062,                0.98116,                0.93703,                0.98002,                0.82051,                0.67117,                0.31749,                0.97824,              0.0048025,              0.0048025,              0.0048025
                    107,                0.74018,                0.41009,                 1.0018,                0.98076,                0.94129,                0.98041,                 0.8218,                0.67363,                0.31716,                  0.979,               0.004753,               0.004753,               0.004753
                    108,                0.73851,                0.41205,                 1.0085,                0.98172,                0.94223,                0.98115,                0.82292,                0.67565,                0.31907,                0.97953,              0.0047035,              0.0047035,              0.0047035
                    109,                0.73837,                0.41097,                0.99639,                0.98382,                0.94223,                0.98084,                0.82263,                0.67279,                0.31822,                0.97805,               0.004654,               0.004654,               0.004654
                    110,                0.73397,                0.40569,                      1,                0.98323,                0.94382,                0.98225,                0.82294,                0.67235,                0.31404,                0.97845,              0.0046045,              0.0046045,              0.0046045
                    111,                0.72392,                0.40495,                0.99691,                0.98227,                0.94421,                0.98136,                0.82466,                0.67219,                0.31425,                0.97925,               0.004555,               0.004555,               0.004555
                    112,                0.72702,                0.40373,                 1.0009,                0.98223,                0.94205,                0.98042,                0.82368,                0.66952,                0.31157,                0.97819,              0.0045055,              0.0045055,              0.0045055
